kanji,joyo_index,radical,strokes,grade,english_meaning,on_kana,kun_kana
亜,1,二,7,S,"sub-, Asia",ア,
哀,2,口,9,S,pathetic,アイ,あわ-れ、あわ-れむ
挨,3,手,10,S,push open,アイ,
愛,4,心,13,4,love,アイ,
曖,5,日,17,S,not clear,アイ,
悪,6,心,11,3,bad,アク、オ,わる-い
握,7,手,12,S,grip,アク,にぎ-る
圧,8,土,5,5,pressure,アツ,
扱,9,手,6,S,handle,,あつか-う
宛,10,宀,8,S,allocate,,あ-てる
嵐,11,山,12,S,storm,,あらし
安,12,宀,6,3,cheap,アン,やす-い
案,13,木,10,4,plan,アン,
暗,14,日,13,3,dark,アン,くら-い
以,15,人,5,4,by means of,イ,
衣,16,衣,6,4,clothes,イ,ころも
位,17,人,7,4,rank,イ,くらい
囲,18,囗,7,5,surround,イ,かこ-む、かこ-う
医,19,酉,7,3,doctor,イ,
依,20,人,8,S,reliant,イ、（エ）,
委,21,女,8,3,committee,イ,ゆだ-ねる
威,22,女,9,S,intimidate,イ,
為,23,爪,9,S,do,イ,
畏,24,田,9,S,fear,イ,おそ-れる
胃,25,肉,9,6,stomach,イ,
尉,26,寸,11,S,military officer,イ,
異,27,田,11,6,uncommon,イ,こと
移,28,禾,11,5,shift,イ,うつ-る、うつ-す
萎,29,艸,11,S,wither,イ,な-える
偉,30,人,12,S,admirable,イ,えら-い
椅,31,木,12,S,chair,イ,
彙,32,彐,13,S,same kind,イ,
意,33,心,13,3,idea,イ,
違,34,辵,13,S,differ,イ,ちが-う、ちが-える
維,35,糸,14,S,fiber,イ,
慰,36,心,15,S,consolation,イ,なぐさ-める、なぐさ-む
遺,37,辵,15,6,bequeath,イ、（ユイ）,
緯,38,糸,16,S,horizontal,イ,
域,39,土,11,6,range,イキ,
育,40,肉,8,3,nurture,イク,そだ-つ、そだ-てる、はぐく-む
一,41,一,1,1,one,イチ、イツ,ひと、ひと-つ
壱,42,士,7,S,one (falsification prevention),イチ,
逸,43,辵,11,S,deviate,イツ,
茨,44,艸,9,4,thorn,,（いばら）[6]
芋,45,艸,6,S,potato,,いも
引,46,弓,4,2,pull,イン,ひ-く、ひ-ける
印,47,卩,6,4,mark,イン,しるし
因,48,囗,6,5,cause,イン,よ-る
咽,49,口,9,S,throat,イン,
姻,50,女,9,S,matrimony,イン,
員,51,口,10,3,member,イン,
院,52,阜,10,3,institution,イン,
淫,53,水,11,S,lewdness,イン,みだ-ら
陰,54,阜,11,S,shade,イン,かげ、かげ-る
飲,55,食,12,3,drink,イン,の-む
隠,56,阜,14,S,conceal,イン,かく-す、かく-れる
韻,57,音,19,S,rhyme,イン,
右,58,口,5,1,right (direction),ウ、ユウ,みぎ
宇,59,宀,6,6,eaves,ウ,
羽,60,羽,6,2,feather,ウ,は、はね
雨,61,雨,8,1,rain,ウ,あめ、（あま）
唄,62,口,10,S,songs with samisen,,（うた）
鬱,63,鬯,29,S,depression,ウツ,
畝,64,田,10,S,furrow,,うね
浦,65,水,10,S,bay,,うら
運,66,辵,12,3,carry,ウン,はこ-ぶ
雲,67,雨,12,2,cloud,ウン,くも
永,68,水,5,5,eternity,エイ,なが-い
泳,69,水,8,3,swim,エイ,およ-ぐ
英,70,艸,8,4,England,エイ,
映,71,日,9,6,reflect,エイ,うつ-る、うつ-す、は-える
栄,72,木,9,4,prosperity,エイ,さか-える、は-え、は-える
営,73,火,12,5,manage,エイ,いとな-む
詠,74,言,12,S,recitation,エイ,よ-む
影,75,彡,15,S,shadow,エイ,かげ
鋭,76,金,15,S,pointed,エイ,するど-い
衛,77,行,16,5,defense,エイ,
易,78,日,8,5,easy,エキ、イ,やさ-しい
疫,79,疒,9,S,epidemic,エキ、（ヤク）,
益,80,皿,10,5,benefit,エキ、（ヤク）,
液,81,水,11,5,fluid,エキ,
駅,82,馬,14,3,station,エキ,
悦,83,心,10,S,ecstasy,エツ,
越,84,走,12,S,cross over,エツ,こ-す、こ-える
謁,85,言,15,S,audience,エツ,
閲,86,門,15,S,review,エツ,
円,87,囗,4,1,"round, yen",エン,まる-い
延,88,廴,8,6,prolong,エン,の-びる、の-べる、の-ばす
沿,89,水,8,6,run alongside,エン,そ-う
炎,90,火,8,S,inflammation,エン,ほのお
怨,91,心,9,S,grudge,エン、オン,
宴,92,宀,10,S,banquet,エン,
媛,93,女,12,4,"princess, beautiful woman",エン,
援,94,手,12,S,aid,エン,
園,95,囗,13,2,garden,エン,その
煙,96,火,13,S,smoke,エン,けむ-る、けむり、けむ-い
猿,97,犬,13,S,monkey,エン,さる
遠,98,辵,13,2,far,エン、（オン）,とお-い
鉛,99,金,13,S,lead,エン,なまり
塩,100,鹵,13,4,salt,エン,しお
演,101,水,14,5,perform,エン,
縁,102,糸,15,S,affinity,エン,ふち
艶,103,色,19,S,glossy,エン,つや
汚,104,水,6,S,dirty,オ,けが-す、けが-れる、けが-らわしい、よご-す、よご-れる、きたな-い
王,105,玉,4,1,king,オウ,
凹,106,凵,5,S,concave,オウ,
央,107,大,5,3,center,オウ,
応,108,心,7,5,respond,オウ,こた-える
往,109,彳,8,5,outward journey,オウ,
押,110,手,8,S,pushed,オウ,お-す、お-さえる
旺,111,日,8,S,flourishing,オウ,
欧,112,欠,8,S,Europe,オウ,
殴,113,殳,8,S,assault,オウ,なぐ-る
桜,114,木,10,5,cherry tree,オウ,さくら
翁,115,羽,10,S,venerable old man,オウ,
奥,116,大,12,S,heart,オウ,おく
横,117,木,15,3,side,オウ,よこ
岡,118,山,8,4,hill,,（おか）[6]
屋,119,尸,9,3,roof,オク,や
億,120,人,15,4,hundred million,オク,
憶,121,心,16,S,recollection,オク,
臆,122,肉,17,S,timidity,オク,
虞,123,虍,13,S,uneasiness,,おそれ
乙,124,乙,1,S,the latter,オツ,
俺,125,人,10,S,"I, we, myself",,おれ
卸,126,卩,9,S,wholesale,,おろ-す、おろし
音,127,音,9,1,sound,オン、イン,おと、ね
恩,128,心,10,6,grace,オン,
温,129,水,12,3,warm,オン,あたた-か、あたた-かい、あたた-まる、あたた-める
穏,130,禾,16,S,calm,オン,おだ-やか
下,131,一,3,1,below,カ、ゲ,した、しも、もと、さ-げる、さ-がる、くだ-る、くだ-す、くだ-さる、お-ろす、お-りる
化,132,匕,4,3,change,カ、ケ,ば-ける、ば-かす
火,133,火,4,1,fire,カ,ひ、（ほ）
加,134,力,5,4,add,カ,くわ-える、くわ-わる
可,135,口,5,5,possible,カ,
仮,136,人,6,5,temporary,カ、（ケ）,かり
何,137,人,7,2,what,カ,なに、（なん）
花,138,艸,7,1,flower,カ,はな
佳,139,人,8,S,excellent,カ,
価,140,人,8,5,value,カ,あたい
果,141,木,8,4,fruit,カ,は-たす、は-てる、は-て
河,142,水,8,5,river,カ,かわ
苛,143,艸,8,S,torment,カ,
科,144,禾,9,2,section,カ,
架,145,木,9,S,rack,カ,か-ける、か-かる
夏,146,夊,10,2,summer,カ、（ゲ）,なつ
家,147,宀,10,2,house,カ、ケ,いえ、や
荷,148,艸,10,3,luggage,カ,に
華,149,艸,10,S,splendor,カ、（ケ）,はな
菓,150,艸,11,S,confectionery,カ,
貨,151,貝,11,4,freight,カ,
渦,152,水,12,S,whirlpool,カ,うず
過,153,辵,12,5,go beyond,カ,す-ぎる、す-ごす、あやま-つ、あやま-ち
嫁,154,女,13,S,marry into,カ,よめ、とつ-ぐ
暇,155,日,13,S,spare time,カ,ひま
禍,156,示,13,S,calamity,カ,
靴,157,革,13,S,shoes,カ,くつ
寡,158,宀,14,S,widow,カ,
歌,159,欠,14,2,song,カ,うた、うた-う
箇,160,竹,14,S,counters for things,カ,
稼,161,禾,15,S,earnings,カ,かせ-ぐ
課,162,言,15,4,section,カ,
蚊,163,虫,10,S,mosquito,,か
牙,164,牙,4,S,tusk,ガ、（ゲ）,きば
瓦,165,瓦,5,S,tile,ガ,かわら
我,166,戈,7,6,"ego, I, we",ガ,われ、わ
画,167,田,8,2,tableau,ガ、カク,
芽,168,艸,8,4,bud,ガ,め
賀,169,貝,12,4,congratulations,ガ,
雅,170,隹,13,S,gracious,ガ,
餓,171,食,15,S,starve,ガ,
介,172,人,4,S,jammed in,カイ,
回,173,囗,6,2,times,カイ、（エ）,まわ-る、まわ-す
灰,174,火,6,6,ashes,カイ,はい
会,175,曰,6,2,association,カイ、エ,あ-う
快,176,心,7,5,cheerful,カイ,こころよ-い
戒,177,戈,7,S,commandment,カイ,いまし-める
改,178,攴,7,4,reformation,カイ,あらた-める、あらた-まる
怪,179,心,8,S,suspicious,カイ,あや-しい、あや-しむ
拐,180,手,8,S,kidnap,カイ,
悔,181,心,9,S,repent,カイ,く-いる、く-やむ、くや-しい
海,182,水,9,2,sea,カイ,うみ
界,183,田,9,3,world,カイ,
皆,184,白,9,S,all,カイ,みな
械,185,木,11,4,contraption,カイ,
絵,186,糸,12,2,picture,カイ、エ,
開,187,門,12,3,open,カイ,ひら-く、ひら-ける、あ-く、あ-ける
階,188,阜,12,3,floor of a building,カイ,
塊,189,土,13,S,clod,カイ,かたまり
楷,190,木,13,S,square character style,カイ,
解,191,角,13,5,untie,カイ、ゲ,と-く、と-かす、と-ける
潰,192,水,15,S,crush,カイ,つぶ-す、つぶ-れる
壊,193,土,16,S,demolition,カイ,こわ-す、こわ-れる
懐,194,心,16,S,pocket,カイ,ふところ、なつ-かしい、なつ-かしむ、なつ-く、なつ-ける
諧,195,言,16,S,harmony,カイ,
貝,196,貝,7,1,shellfish,,かい
外,197,夕,5,2,outside,ガイ、ゲ,そと、ほか、はず-す、はず-れる
劾,198,力,8,S,censure,ガイ,
害,199,宀,10,4,harm,ガイ,
崖,200,山,11,S,cliff,ガイ,がけ
涯,201,水,11,S,horizon,ガイ,
街,202,行,12,4,street,ガイ、（カイ）,まち
慨,203,心,13,S,rue,ガイ,
蓋,204,艸,13,S,cover,ガイ,ふた
該,205,言,13,S,above-stated,ガイ,
概,206,木,14,S,outline,ガイ,
骸,207,骨,16,S,dead remains,ガイ,
垣,208,土,9,S,hedge,,かき
柿,209,木,9,S,persimmon,,かき
各,210,口,6,4,each,カク,おのおの
角,211,角,7,2,angle,カク,かど、つの
拡,212,手,8,6,broaden,カク,
革,213,革,9,6,leather,カク,かわ
格,214,木,10,5,status,カク、（コウ）,
核,215,木,10,S,nucleus,カク,
殻,216,殳,11,S,husk,カク,から
郭,217,邑,11,S,enclosure,カク,
覚,218,見,12,4,memorize,カク,おぼ-える、さ-ます、さ-める
較,219,車,13,S,contrast,カク,
隔,220,阜,13,S,isolate,カク,へだ-てる、へだ-たる
閣,221,門,14,6,tall,カク,
確,222,石,15,5,certain,カク,たし-か、たし-かめる
獲,223,犬,16,S,seize,カク,え-る
嚇,224,口,17,S,menacing,カク,
穫,225,禾,18,S,harvest,カク,
学,226,子,8,1,study,ガク,まな-ぶ
岳,227,山,8,S,point,ガク,たけ
楽,228,木,13,2,pleasure,ガク、ラク,たの-しい、たの-しむ
額,229,頁,18,5,amount,ガク,ひたい
顎,230,頁,18,S,jaw,ガク,あご
掛,231,手,11,S,hang,,か-ける、か-かる、かかり
潟,232,水,15,4,lagoon,,かた
括,233,手,9,S,fasten,カツ,
活,234,水,9,2,active,カツ,
喝,235,口,11,S,hoarse,カツ,
渇,236,水,11,S,thirst,カツ,かわ-く
割,237,刀,12,6,divide,カツ,わ-る、わり、わ-れる、さ-く
葛,238,艸,12,S,arrowroot,カツ,くず
滑,239,水,13,S,slippery,カツ、コツ,すべ-る、なめ-らか
褐,240,衣,13,S,brown,カツ,
轄,241,車,17,S,control,カツ,
且,242,一,5,S,moreover,,か-つ
株,243,木,10,6,stocks,,かぶ
釜,244,金,10,S,kettle,,かま
鎌,245,金,18,S,sickle,,かま
刈,246,刀,4,S,reap,,か-る
干,247,干,3,6,dry,カン,ほ-す、ひ-る
刊,248,刀,5,5,publish,カン,
甘,249,甘,5,S,sweet,カン,あま-い、あま-える、あま-やかす
汗,250,水,6,S,sweat,カン,あせ
缶,251,缶,6,S,tin can,カン,
完,252,宀,7,4,perfect,カン,
肝,253,肉,7,S,liver,カン,きも
官,254,宀,8,4,government official,カン,
冠,255,冖,9,S,crown,カン,かんむり
巻,256,卩,9,6,scroll,カン,ま-く、まき
看,257,目,9,6,watch over,カン,
陥,258,阜,10,S,collapse,カン,おちい-る、おとしい-れる
乾,259,乙,11,S,dry,カン,かわ-く、かわ-かす
勘,260,力,11,S,intuition,カン,
患,261,心,11,S,afflicted,カン,わずら-う
貫,262,貝,11,S,pierce,カン,つらぬ-く
寒,263,宀,12,3,cold,カン,さむ-い
喚,264,口,12,S,yell,カン,
堪,265,土,12,S,withstand,カン,た-える
換,266,手,12,S,interchange,カン,か-える、か-わる
敢,267,攴,12,S,daring,カン,
棺,268,木,12,S,coffin,カン,
款,269,欠,12,S,goodwill,カン,
間,270,門,12,2,interval,カン、ケン,あいだ、ま
閑,271,門,12,S,leisure,カン,
勧,272,力,13,S,persuade,カン,すす-める
寛,273,宀,13,S,tolerant,カン,
幹,274,干,13,5,tree-trunk,カン,みき
感,275,心,13,3,feeling,カン,
漢,276,水,13,3,China,カン,
慣,277,心,14,5,accustomed,カン,な-れる、な-らす
管,278,竹,14,4,pipe,カン,くだ
関,279,門,14,4,related,カン,せき、かか-わる
歓,280,欠,15,S,delight,カン,
監,281,皿,15,S,oversee,カン,
緩,282,糸,15,S,slacken,カン,ゆる-い、ゆる-やか、ゆる-む、ゆる-める
憾,283,心,16,S,remorse,カン,
還,284,辵,16,S,send back,カン,
館,285,食,16,3,public building,カン,やかた
環,286,玉,17,S,ring,カン,
簡,287,竹,18,6,simplicity,カン,
観,288,見,18,4,observe,カン,
韓,289,韋,18,S,Korea,カン,
艦,290,舟,21,S,warship,カン,
鑑,291,金,23,S,specimen,カン,かんが-みる
丸,292,丶,3,2,circle,ガン,まる、まる-い、まる-める
含,293,口,7,S,include,ガン,ふく-む、ふく-める
岸,294,山,8,3,beach,ガン,きし
岩,295,山,8,2,boulder,ガン,いわ
玩,296,玉,8,S,trifle with,ガン,
眼,297,目,11,5,eyeball,ガン、（ゲン）,まなこ
頑,298,頁,13,S,stubborn,ガン,
顔,299,頁,18,2,face,ガン,かお
願,300,頁,19,4,request,ガン,ねが-う
企,301,人,6,S,plan,キ,くわだ-てる
伎,302,人,6,S,deed,キ,
危,303,卩,6,6,dangerous,キ,あぶ-ない、あや-うい、あや-ぶむ
机,304,木,6,6,desk,キ,つくえ
気,305,气,6,1,feeling,キ、ケ,
岐,306,山,7,4,branch off,キ,
希,307,巾,7,4,hope,キ,
忌,308,心,7,S,mourning,キ,い-む、い-まわしい
汽,309,水,7,2,steam,キ,
奇,310,大,8,S,strange,キ,
祈,311,示,8,S,pray,キ,いの-る
季,312,子,8,4,seasons,キ,
紀,313,糸,9,5,chronicle,キ,
軌,314,車,9,S,rut,キ,
既,315,无,10,S,previously,キ,すで-に
記,316,言,10,2,write down,キ,しる-す
起,317,走,10,3,wake up,キ,お-きる、お-こる、お-こす
飢,318,食,10,S,hungry,キ,う-える
鬼,319,鬼,10,S,ghost,キ,おに
帰,320,止,10,2,return,キ,かえ-る、かえ-す
基,321,土,11,5,foundation,キ,もと、もとい
寄,322,宀,11,5,approach,キ,よ-る、よ-せる
規,323,見,11,5,rule,キ,
亀,324,龜,11,S,turtle,キ,かめ
喜,325,口,12,5,rejoice,キ,よろこ-ぶ
幾,326,幺,12,S,how many,キ,いく
揮,327,手,12,6,brandish,キ,
期,328,月,12,3,period of time,キ、（ゴ）,
棋,329,木,12,S,chess piece,キ,
貴,330,貝,12,6,precious,キ,たっと-い、とうと-い、たっと-ぶ、とうと-ぶ
棄,331,木,13,S,abandon,キ,
毀,332,殳,13,S,destroy,キ,
旗,333,方,14,4,national flag,キ,はた
器,334,口,15,4,container,キ,うつわ
畿,335,田,15,S,capital,キ,
輝,336,車,15,S,radiance,キ,かがや-く
機,337,木,16,4,machine,キ,はた
騎,338,馬,18,S,equestrian,キ,
技,339,手,7,5,skill,ギ,わざ
宜,340,宀,8,S,best regards,ギ,
偽,341,人,11,S,falsehood,ギ,いつわ-る、にせ
欺,342,欠,12,S,deceit,ギ,あざむ-く
義,343,羊,13,5,righteousness,ギ,
疑,344,疋,14,6,doubt,ギ,うたが-う
儀,345,人,15,S,ceremony,ギ,
戯,346,戈,15,S,frolic,ギ,たわむ-れる
擬,347,手,17,S,mimic,ギ,
犠,348,牛,17,S,sacrifice,ギ,
議,349,言,20,4,deliberation,ギ,
菊,350,艸,11,S,chrysanthemum,キク,
吉,351,口,6,S,good luck,キチ、キツ,
喫,352,口,12,S,consume,キツ,
詰,353,言,13,S,packed,キツ,つ-める、つ-まる、つ-む
却,354,卩,7,S,instead,キャク,
客,355,宀,9,3,guest,キャク、カク,
脚,356,肉,11,S,leg,キャク、（キャ）,あし
逆,357,辵,9,5,inverted,ギャク,さか、さか-らう
虐,358,虍,9,S,tyrannize,ギャク,しいた-げる
九,359,乙,2,1,nine,キュウ、ク,ここの、ここの-つ
久,360,丿,3,5,long time,キュウ、（ク）,ひさ-しい
及,361,又,3,S,reach out,キュウ,およ-ぶ、およ-び、およ-ぼす
弓,362,弓,3,2,"bow (archery, violin)",キュウ,ゆみ
丘,363,一,5,S,hill,キュウ,おか
旧,364,臼,5,5,old times,キュウ,
休,365,人,6,1,rest,キュウ,やす-む、やす-まる、やす-める
吸,366,口,6,6,suck,キュウ,す-う
朽,367,木,6,S,decay,キュウ,く-ちる
臼,368,臼,6,S,mortar,キュウ,うす
求,369,水,7,4,request,キュウ,もと-める
究,370,穴,7,3,research,キュウ,きわ-める
泣,371,水,8,4,cry,キュウ,な-く
急,372,心,9,3,hurry,キュウ,いそ-ぐ
級,373,糸,9,3,rank,キュウ,
糾,374,糸,9,S,twist,キュウ,
宮,375,宀,10,3,Shinto shrine,キュウ、グウ、（ク）,みや
救,376,攴,11,5,salvation,キュウ,すく-う
球,377,玉,11,3,sphere,キュウ,たま
給,378,糸,12,4,salary,キュウ,
嗅,379,口,13,S,smell,キュウ,か-ぐ
窮,380,穴,15,S,hard up,キュウ,きわ-める、きわ-まる
牛,381,牛,4,2,cow,ギュウ,うし
去,382,厶,5,3,leave,キョ、コ,さ-る
巨,383,工,4,S,gigantic,キョ,
居,384,尸,8,5,reside,キョ,い-る
拒,385,手,8,S,repel,キョ,こば-む
拠,386,手,8,S,foothold,キョ、コ,
挙,387,手,10,4,raise,キョ,あ-げる、あ-がる
虚,388,虍,11,S,void,キョ、（コ）,
許,389,言,11,5,permit,キョ,ゆる-す
距,390,足,12,S,long-distance,キョ,
魚,391,魚,11,2,fish,ギョ,うお、さかな
御,392,彳,12,S,honorable,ギョ、ゴ,おん
漁,393,水,14,4,fishing,ギョ、リョウ,
凶,394,凵,4,S,villain,キョウ,
共,395,八,6,4,together,キョウ,とも
叫,396,口,6,S,shout,キョウ,さけ-ぶ
狂,397,犬,7,S,lunatic,キョウ,くる-う、くる-おしい
京,398,亠,8,2,capital,キョウ、ケイ,
享,399,亠,8,S,receive,キョウ,
供,400,人,8,6,offer,キョウ、（ク）,そな-える、とも
協,401,十,8,4,cooperation,キョウ,
況,402,水,8,S,condition,キョウ,
峡,403,山,9,S,gorge,キョウ,
挟,404,手,9,S,pinch,キョウ,はさ-む、はさ-まる
狭,405,犬,9,S,cramped,キョウ,せま-い、せば-める、せば-まる
恐,406,心,10,S,fear,キョウ,おそ-れる、おそ-ろしい
恭,407,心,10,S,respect,キョウ,うやうや-しい
胸,408,肉,10,6,bosom,キョウ,むね、（むな）
脅,409,肉,10,S,threaten,キョウ,おびや-かす、おど-す、おど-かす
強,410,弓,11,2,strong,キョウ、ゴウ,つよ-い、つよ-まる、つよ-める、し-いる
教,411,攴,11,2,teach,キョウ,おし-える、おそ-わる
郷,412,邑,11,6,home town,キョウ、ゴウ,
境,413,土,14,5,boundary,キョウ、（ケイ）,さかい
橋,414,木,16,3,bridge,キョウ,はし
矯,415,矢,17,S,rectify,キョウ,た-める
鏡,416,金,19,4,mirror,キョウ,かがみ
競,417,立,20,4,compete,キョウ、ケイ,きそ-う、せ-る
響,418,音,20,S,echo,キョウ,ひび-く
驚,419,馬,22,S,wonder,キョウ,おどろ-く、おどろ-かす
仰,420,人,6,S,face-up,ギョウ、（コウ）,あお-ぐ、おお-せ
暁,421,日,12,S,daybreak,ギョウ,あかつき
業,422,木,13,3,business,ギョウ、ゴウ,わざ
凝,423,冫,16,S,congeal,ギョウ,こ-る、こ-らす
曲,424,曰,6,3,musical composition,キョク,ま-がる、ま-げる
局,425,尸,7,3,office,キョク,
極,426,木,12,4,poles,キョク、ゴク,きわ-める、きわ-まる、きわ-み
玉,427,玉,5,1,ball,ギョク,たま
巾,428,巾,3,S,towel,キン,
斤,429,斤,4,S,axe,キン,
均,430,土,7,5,level,キン,
近,431,辵,7,2,near,キン,ちか-い
金,432,金,8,1,gold,キン、コン,かね、（かな）
菌,433,艸,11,S,germ,キン,
勤,434,力,12,6,diligence,キン、（ゴン）,つと-める、つと-まる
琴,435,玉,12,S,harp,キン,こと
筋,436,竹,12,6,muscle,キン,すじ
僅,437,人,13,S,a wee bit,キン,わず-か
禁,438,示,13,5,prohibition,キン,
緊,439,糸,15,S,tense,キン,
錦,440,金,16,S,brocade,キン,にしき
謹,441,言,17,S,discreet,キン,つつし-む
襟,442,衣,18,S,collar,キン,えり
吟,443,口,7,S,versify,ギン,
銀,444,金,14,3,silver,ギン,
区,445,匸,4,3,ward,ク,
句,446,口,5,5,phrase,ク,
苦,447,艸,8,3,suffer,ク,くる-しい、くる-しむ、くる-しめる、にが-い、にが-る
駆,448,馬,14,S,drive,ク,か-ける、か-る
具,449,八,8,3,tool,グ,
惧,450,心,11,S,dread,グ,
愚,451,心,13,S,foolish,グ,おろ-か
空,452,穴,8,1,sky,クウ,そら、あ-く、あ-ける、から
偶,453,人,11,S,accidentally,グウ,
遇,454,辵,12,S,interview,グウ,
隅,455,阜,12,S,corner,グウ,すみ
串,456,丨,7,S,skewer,,くし
屈,457,尸,8,S,yield,クツ,
掘,458,手,11,S,dig,クツ,ほ-る
窟,459,穴,13,S,cavern,クツ,
熊,460,火,14,4,bear,,くま
繰,461,糸,19,S,winding,,く-る
君,462,口,7,3,you,クン,きみ
訓,463,言,10,4,instruction,クン,
勲,464,力,15,S,meritorious deed,クン,
薫,465,艸,16,S,fragrant,クン,かお-る
軍,466,車,9,4,army,グン,
郡,467,邑,10,4,county,グン,
群,468,羊,13,4,flock,グン,む-れる、む-れ、（むら）
兄,469,儿,5,2,older brother,ケイ、（キョウ）,あに
刑,470,刀,6,S,punish,ケイ,
形,471,彡,7,2,shape,ケイ、ギョウ,かた、かたち
系,472,糸,7,6,lineage,ケイ,
径,473,彳,8,4,diameter,ケイ,
茎,474,艸,8,S,stalk,ケイ,くき
係,475,人,9,3,person in charge,ケイ,かか-る、かかり
型,476,土,9,5,model,ケイ,かた
契,477,大,9,S,pledge,ケイ,ちぎ-る
計,478,言,9,2,measure,ケイ,はか-る、はか-らう
恵,479,心,10,S,favor,ケイ、エ,めぐ-む
啓,480,口,11,S,disclose,ケイ,
掲,481,手,11,S,put up (a notice),ケイ,かか-げる
渓,482,水,11,S,mountain stream,ケイ,
経,483,糸,11,5,manage,ケイ、キョウ,へ-る
蛍,484,虫,11,S,lightning-bug,ケイ,ほたる
敬,485,攴,12,6,respect,ケイ,うやま-う
景,486,日,12,4,scenery,ケイ,
軽,487,車,12,3,lightweight,ケイ,かる-い、かろ-やか
傾,488,人,13,S,lean,ケイ,かたむ-く、かたむ-ける
携,489,手,13,S,portable,ケイ,たずさ-える、たずさ-わる
継,490,糸,13,S,inherit,ケイ,つ-ぐ
詣,491,言,13,S,visit a temple,ケイ,もう-でる
慶,492,心,15,S,jubilation,ケイ,
憬,493,心,15,S,long for,ケイ,
稽,494,禾,15,S,consider,ケイ,
憩,495,心,16,S,recess,ケイ,いこ-い、いこ-う
警,496,言,19,6,guard against,ケイ,
鶏,497,鳥,19,S,chicken,ケイ,にわとり
芸,498,艸,7,4,art,ゲイ,
迎,499,辵,7,S,welcome,ゲイ,むか-える
鯨,500,魚,19,S,whale,ゲイ,くじら
隙,501,阜,13,S,fissure,ゲキ,すき
劇,502,刀,15,6,drama,ゲキ,
撃,503,手,15,S,beat,ゲキ,う-つ
激,504,水,16,6,violent,ゲキ,はげ-しい
桁,505,木,10,S,beam,,けた
欠,506,缶,4,4,lack,ケツ,か-ける、か-く
穴,507,穴,5,6,hole,ケツ,あな
血,508,血,6,3,blood,ケツ,ち
決,509,水,7,3,decide,ケツ,き-める、き-まる
結,510,糸,12,4,tie,ケツ,むす-ぶ、ゆ-う、ゆ-わえる
傑,511,人,13,S,greatness,ケツ,
潔,512,水,15,5,undefiled,ケツ,いさぎよ-い
月,513,月,4,1,"month, moon",ゲツ、ガツ,つき
犬,514,犬,4,1,dog,ケン,いぬ
件,515,人,6,5,affair,ケン,
見,516,見,7,1,see,ケン,み-る、み-える、み-せる
券,517,刀,8,6,ticket,ケン,
肩,518,肉,8,S,shoulder,ケン,かた
建,519,廴,9,4,build,ケン、（コン）,た-てる、た-つ
研,520,石,9,3,sharpen,ケン,と-ぐ
県,521,糸,9,3,prefecture,ケン,
倹,522,人,10,S,frugal,ケン,
兼,523,八,10,S,concurrently,ケン,か-ねる
剣,524,刀,10,S,sabre,ケン,つるぎ
拳,525,手,10,S,fist,ケン,こぶし
軒,526,車,10,S,flats,ケン,のき
健,527,人,11,4,healthy,ケン,すこ-やか
険,528,阜,11,5,precipitous,ケン,けわ-しい
圏,529,囗,12,S,sphere,ケン,
堅,530,土,12,S,strict,ケン,かた-い
検,531,木,12,5,examine,ケン,
嫌,532,女,13,S,dislike,ケン、（ゲン）,きら-う、いや
献,533,犬,13,S,offering,ケン、（コン）,
絹,534,糸,13,6,silk,ケン,きぬ
遣,535,辵,13,S,dispatch,ケン,つか-う、つか-わす
権,536,木,15,6,rights,ケン、（ゴン）,
憲,537,心,16,6,constitution,ケン,
賢,538,貝,16,S,intelligent,ケン,かしこ-い
謙,539,言,17,S,self-effacing,ケン,
鍵,540,金,17,S,key,ケン,かぎ
繭,541,糸,18,S,cocoon,ケン,まゆ
顕,542,頁,18,S,appear,ケン,
験,543,馬,18,4,test,ケン、（ゲン）,
懸,544,心,20,S,suspend,ケン、（ケ）,か-ける、か-かる
元,545,儿,4,2,origin,ゲン、ガン,もと
幻,546,幺,4,S,phantasm,ゲン,まぼろし
玄,547,玄,5,S,mysterious,ゲン,
言,548,言,7,2,say,ゲン、ゴン,い-う、こと
弦,549,弓,8,S,bowstring,ゲン,つる
限,550,阜,9,5,limit,ゲン,かぎ-る
原,551,厂,10,2,field,ゲン,はら
現,552,玉,11,5,appear,ゲン,あらわ-れる、あらわ-す
舷,553,舟,11,S,gunwale,ゲン,
減,554,水,12,5,decrease,ゲン,へ-る、へ-らす
源,555,水,13,6,origin,ゲン,みなもと
厳,556,口,17,6,strict,ゲン、（ゴン）,おごそ-か、きび-しい
己,557,己,3,6,self,コ、キ,おのれ
戸,558,戶,4,2,door,コ,と
古,559,口,5,2,old,コ,ふる-い、ふる-す
呼,560,口,8,6,call,コ,よ-ぶ
固,561,囗,8,4,hard,コ,かた-める、かた-まる、かた-い
股,562,肉,8,S,crotch,コ,また
虎,563,虍,8,S,tiger,コ,とら
孤,564,子,9,S,orphan,コ,
弧,565,弓,9,S,arc,コ,
故,566,攴,9,5,circumstances,コ,ゆえ
枯,567,木,9,S,wither,コ,か-れる、か-らす
個,568,人,10,5,individual,コ,
庫,569,广,10,3,warehouse,コ、（ク）,
湖,570,水,12,3,lake,コ,みずうみ
雇,571,隹,12,S,employ,コ,やと-う
誇,572,言,13,S,boast,コ,ほこ-る
鼓,573,鼓,13,S,drum,コ,つづみ
